Fish #,No.cells,Strain,Stain,Time
1,28,tet2 wt/wt,runx1/cmyb,48 hpf
2,18,tet2 wt/wt,runx1/cmyb,48 hpf
3,16,tet2 wt/wt,runx1/cmyb,48 hpf
4,21,tet2 wt/wt,runx1/cmyb,48 hpf
5,20,tet2 wt/wt,runx1/cmyb,48 hpf
6,21,tet2 wt/wt,runx1/cmyb,48 hpf
7,18,tet2 wt/wt,runx1/cmyb,48 hpf
8,29,tet2 wt/wt,runx1/cmyb,48 hpf
9,33,tet2 wt/wt,runx1/cmyb,48 hpf
10,22,tet2 wt/wt,runx1/cmyb,48 hpf
11,17,tet2 wt/wt,runx1/cmyb,48 hpf
12,29,tet2 wt/wt,runx1/cmyb,48 hpf
13,21,tet2 wt/wt,runx1/cmyb,48 hpf
14,27,tet2 wt/wt,runx1/cmyb,48 hpf
15,13,tet2 wt/wt,runx1/cmyb,48 hpf
16,19,tet2 -/-,runx1/cmyb,48 hpf
17,28,tet2 -/-,runx1/cmyb,48 hpf
18,15,tet2 -/-,runx1/cmyb,48 hpf
19,32,tet2 -/-,runx1/cmyb,48 hpf
20,20,tet2 -/-,runx1/cmyb,48 hpf
21,30,tet2 -/-,runx1/cmyb,48 hpf
22,19,tet2 -/-,runx1/cmyb,48 hpf
23,13,tet2 -/-,runx1/cmyb,48 hpf
24,29,tet2 -/-,runx1/cmyb,48 hpf
25,21,tet2 -/-,runx1/cmyb,48 hpf
26,26,tet2 -/-,runx1/cmyb,48 hpf
27,22,tet2 -/-,runx1/cmyb,48 hpf
28,27,tet2 -/-,runx1/cmyb,48 hpf
29,17,tet2 -/-,runx1/cmyb,48 hpf
30,16,tet2 -/-,runx1/cmyb,48 hpf
31,20,tet2 -/-,runx1/cmyb,48 hpf
32,14,tet2 -/-,runx1/cmyb,48 hpf
33,24,tet2 -/-,runx1/cmyb,48 hpf
34,32,tet2 -/-,runx1/cmyb,48 hpf
35,21,tet2 -/-,runx1/cmyb,48 hpf
36,74,tet2 wt/wt,lcp1,48 hpf
37,86,tet2 wt/wt,lcp1,48 hpf
38,59,tet2 wt/wt,lcp1,48 hpf
39,117,tet2 wt/wt,lcp1,48 hpf
40,62,tet2 wt/wt,lcp1,48 hpf
41,65,tet2 wt/wt,lcp1,48 hpf
42,35,tet2 wt/wt,lcp1,48 hpf
43,26,tet2 wt/wt,lcp1,48 hpf
44,55,tet2 wt/wt,lcp1,48 hpf
45,48,tet2 wt/wt,lcp1,48 hpf
46,91,tet2 wt/wt,lcp1,48 hpf
47,73,tet2 wt/wt,lcp1,48 hpf
48,40,tet2 wt/wt,lcp1,48 hpf
49,83,tet2 wt/wt,lcp1,48 hpf
50,53,tet2 wt/wt,lcp1,48 hpf
51,56,tet2 wt/wt,lcp1,48 hpf
52,58,tet2 wt/wt,lcp1,48 hpf
53,83,tet2 wt/wt,lcp1,48 hpf
54,62,tet2 wt/wt,lcp1,48 hpf
55,44,tet2 -/-,lcp1,48 hpf
56,25,tet2 -/-,lcp1,48 hpf
57,57,tet2 -/-,lcp1,48 hpf
58,53,tet2 -/-,lcp1,48 hpf
59,45,tet2 -/-,lcp1,48 hpf
60,38,tet2 -/-,lcp1,48 hpf
61,53,tet2 -/-,lcp1,48 hpf
62,55,tet2 -/-,lcp1,48 hpf
63,26,tet2 -/-,lcp1,48 hpf
64,32,tet2 -/-,lcp1,48 hpf
65,40,tet2 -/-,lcp1,48 hpf
66,58,tet2 -/-,lcp1,48 hpf
67,38,tet2 -/-,lcp1,48 hpf
