chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,858731,859105,375,858948,26,7.52902,3.17484,4.39445,negER_meDIP2x_TIvsCI_peak_1
chr1,867197,867922,726,867554,25,10.30376,4.25072,6.73654,negER_meDIP2x_TIvsCI_peak_2
chr1,877999,878538,540,878151,23,14.96026,6.68999,10.93847,negER_meDIP2x_TIvsCI_peak_3
chr1,1238373,1238731,359,1238430,18,10.30452,5.29624,6.73654,negER_meDIP2x_TIvsCI_peak_4
chr1,1344629,1344908,280,1344722,17,9.43531,5.01749,5.98127,negER_meDIP2x_TIvsCI_peak_5
chr1,1728741,1729030,290,1728849,39,13.55477,4.00292,9.65232,negER_meDIP2x_TIvsCI_peak_6
chr1,3146479,3146747,269,3146677,13,4.98962,3.24592,2.4059,negER_meDIP2x_TIvsCI_peak_7
chr1,3195586,3195941,356,3195675,26,4.88783,2.36581,2.33891,negER_meDIP2x_TIvsCI_peak_8
chr1,3997129,3997537,409,3997518,59,6.78883,2.04095,3.81575,negER_meDIP2x_TIvsCI_peak_9
chr1,4010661,4010976,316,4010720,39,6.11737,2.27719,3.28922,negER_meDIP2x_TIvsCI_peak_10
chr1,5877432,5877718,287,5877524,34,8.77536,3.06678,5.42259,negER_meDIP2x_TIvsCI_peak_11
chr1,7742177,7742645,469,7742490,19,9.34639,4.63703,5.92281,negER_meDIP2x_TIvsCI_peak_12
chr1,8337199,8337553,355,8337295,22,9.70266,4.37287,6.21783,negER_meDIP2x_TIvsCI_peak_13
chr1,8453229,8453482,254,8453349,20,12.10774,5.85374,8.33576,negER_meDIP2x_TIvsCI_peak_14
chr1,8555291,8555687,397,8555672,19,6.19488,3.22253,3.33016,negER_meDIP2x_TIvsCI_peak_15
chr1,9889253,9889570,318,9889484,26,8.62466,3.54042,5.29456,negER_meDIP2x_TIvsCI_peak_16
chr1,10483752,10484043,292,10483881,23,8.04515,3.59303,4.8123,negER_meDIP2x_TIvsCI_peak_17
chr1,12604473,12604744,272,12604626,18,10.30452,5.29624,6.73654,negER_meDIP2x_TIvsCI_peak_18
chr1,14134851,14135113,263,14135008,21,10.97741,5.10074,7.34326,negER_meDIP2x_TIvsCI_peak_19
chr1,15184516,15184822,307,15184637,18,10.30452,5.29624,6.73654,negER_meDIP2x_TIvsCI_peak_20
chr1,15455298,15455560,263,15455388,45,9.0453,2.69128,5.66081,negER_meDIP2x_TIvsCI_peak_21
chr1,16348641,16349004,364,16348735,21,6.80106,3.29361,3.82288,negER_meDIP2x_TIvsCI_peak_22
chr1,17075238,17075583,346,17075508,18,7.65313,3.96958,4.4989,negER_meDIP2x_TIvsCI_peak_23
chr1,17407529,17407774,246,17407677,20,10.15197,4.86889,6.6152,negER_meDIP2x_TIvsCI_peak_24
chr1,18239395,18239639,245,18239489,42,9.23347,2.82913,5.82694,negER_meDIP2x_TIvsCI_peak_25
chr1,19415818,19416113,296,19416041,34,8.29737,2.94466,5.0289,negER_meDIP2x_TIvsCI_peak_26
chr1,19737000,19737260,261,19737092,14,6.46154,3.90365,3.52443,negER_meDIP2x_TIvsCI_peak_27
chr1,19904147,19904441,295,19904311,19,11.19568,5.57499,7.51991,negER_meDIP2x_TIvsCI_peak_28
