chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,85087,85369,283,85248,17,6.54493,3.572,3.73846,negER_hmeDIP2x_TIIvsCII_peak_1
chr1,109038,109241,204,109136,25,10.16768,4.19812,6.82643,negER_hmeDIP2x_TIIvsCII_peak_2
chr1,176759,177249,491,176864,163,19.54467,2.22507,15.42524,negER_hmeDIP2x_TIIvsCII_peak_3
chr1,361959,362201,243,362055,32,7.2153,2.75838,4.29412,negER_hmeDIP2x_TIIvsCII_peak_4
chr1,619863,620067,205,619957,61,13.17608,2.92508,9.51082,negER_hmeDIP2x_TIIvsCII_peak_5
chr1,664434,664620,187,664494,22,9.04687,4.09528,5.84924,negER_hmeDIP2x_TIIvsCII_peak_6
chr1,809778,810198,421,810142,49,9.9072,2.73062,6.60303,negER_hmeDIP2x_TIIvsCII_peak_7
chr1,829647,830307,661,830239,103,10.93736,2.05435,7.50224,negER_hmeDIP2x_TIIvsCII_peak_8
chr1,939284,939482,199,939376,18,7.18248,3.75193,4.26821,negER_hmeDIP2x_TIIvsCII_peak_9
chr1,1070417,1070876,460,1070486,76,11.10046,2.35211,7.64978,negER_hmeDIP2x_TIIvsCII_peak_10
chr1,1071943,1072153,211,1072148,89,4.92009,1.5959,2.4233,negER_hmeDIP2x_TIIvsCII_peak_11
chr1,1386243,1386619,377,1386504,36,9.90302,3.24946,6.60002,negER_hmeDIP2x_TIIvsCII_peak_12
chr1,1442491,1443257,767,1442532,217,74.7484,4.6796,69.25529,negER_hmeDIP2x_TIIvsCII_peak_13
chr1,1513273,1513700,428,1513552,44,24.25724,6.64183,19.91145,negER_hmeDIP2x_TIIvsCII_peak_14
chr1,1516006,1516337,332,1516126,47,12.17777,3.23261,8.6099,negER_hmeDIP2x_TIIvsCII_peak_15
chr1,1557071,1557303,233,1557098,141,5.60227,1.49386,2.96837,negER_hmeDIP2x_TIIvsCII_peak_16
chr1,1751146,1751382,237,1751264,52,13.04484,3.19667,9.39444,negER_hmeDIP2x_TIIvsCII_peak_17
chr1,1979589,1979860,272,1979740,310,97.70066,4.3559,91.7845,negER_hmeDIP2x_TIIvsCII_peak_18
chr1,2026112,2026331,220,2026253,108,5.67284,1.59096,3.02389,negER_hmeDIP2x_TIIvsCII_peak_19
chr1,2062596,2062890,295,2062677,76,12.23987,2.48343,8.66571,negER_hmeDIP2x_TIIvsCII_peak_20
chr1,2143574,2143768,195,2143689,16,9.31899,5.13888,6.08878,negER_hmeDIP2x_TIIvsCII_peak_21
