chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,57513,57832,320,57724,82,45.2302,7.40523,40.29837,hmeDIP2x_TIIIvsCIII_peak_1
chr1,62740,62952,213,62940,24,4.47785,2.31847,2.0181,hmeDIP2x_TIIIvsCIII_peak_2
chr1,169618,169820,203,169718,44,10.81308,3.07986,7.42964,hmeDIP2x_TIIIvsCIII_peak_3
chr1,246005,246270,266,246192,39,16.60053,4.85975,12.71676,hmeDIP2x_TIIIvsCIII_peak_4
chr1,284360,284616,257,284547,15,5.5465,3.31392,2.88472,hmeDIP2x_TIIIvsCIII_peak_5
chr1,316421,316636,216,316482,42,6.22043,2.22915,3.44365,hmeDIP2x_TIIIvsCIII_peak_6
chr1,332176,332383,208,332271,57,14.68437,3.29761,10.94332,hmeDIP2x_TIIIvsCIII_peak_7
chr1,399937,400171,235,400051,33,7.62419,2.81947,4.63178,hmeDIP2x_TIIIvsCIII_peak_8
chr1,574224,574427,204,574386,96,11.75165,2.18541,8.26902,hmeDIP2x_TIIIvsCIII_peak_9
chr1,1225049,1226026,978,1225339,50,50.38283,16.31097,45.36132,hmeDIP2x_TIIIvsCIII_peak_10
chr1,1241604,1241861,258,1241721,30,10.31027,3.7663,6.983,hmeDIP2x_TIIIvsCIII_peak_11
chr1,1245914,1246225,312,1245934,42,7.63832,2.50537,4.64152,hmeDIP2x_TIIIvsCIII_peak_12
chr1,1310882,1311079,198,1310883,32,4.45791,2.07716,2.0003,hmeDIP2x_TIIIvsCIII_peak_13
chr1,1327721,1328472,752,1328122,139,14.81972,2.09178,11.06582,hmeDIP2x_TIIIvsCIII_peak_14
chr1,1443579,1443775,197,1443672,43,21.71666,5.96191,17.53502,hmeDIP2x_TIIIvsCIII_peak_15
chr1,1492282,1492685,404,1492579,136,12.22944,1.94319,8.70624,hmeDIP2x_TIIIvsCIII_peak_16
chr1,1571976,1572308,333,1572226,12,6.21299,4.0555,3.43801,hmeDIP2x_TIIIvsCIII_peak_17
chr1,1585775,1586018,244,1585987,19,4.51851,2.56228,2.0515,hmeDIP2x_TIIIvsCIII_peak_18
chr1,1879527,1880045,519,1879793,26,11.8965,4.75452,8.39874,hmeDIP2x_TIIIvsCIII_peak_19
chr1,2176266,2176582,317,2176427,20,15.93023,7.98669,12.09269,hmeDIP2x_TIIIvsCIII_peak_20
chr1,2339240,2339949,710,2339376,71,18.67044,3.43,14.65495,hmeDIP2x_TIIIvsCIII_peak_21
chr1,2467105,2467416,312,2467185,74,12.76666,2.57973,9.18808,hmeDIP2x_TIIIvsCIII_peak_22
chr1,2498351,2498861,511,2498439,127,25.78282,2.9692,21.41373,hmeDIP2x_TIIIvsCIII_peak_23
chr1,2645938,2646337,400,2646319,94,8.45586,1.90324,5.34494,hmeDIP2x_TIIIvsCIII_peak_24
chr1,2646720,2646971,252,2646757,82,8.66179,2.01835,5.52366,hmeDIP2x_TIIIvsCIII_peak_25
chr1,2694768,2695044,277,2694818,95,5.30664,1.6081,2.68954,hmeDIP2x_TIIIvsCIII_peak_26
chr1,2761848,2762040,193,2761948,21,11.85954,5.53122,8.3663,hmeDIP2x_TIIIvsCIII_peak_27
chr1,3529276,3529496,221,3529298,92,5.7625,1.66459,3.05805,hmeDIP2x_TIIIvsCIII_peak_28
chr1,3547072,3547319,248,3547244,13,8.63019,5.32446,5.49602,hmeDIP2x_TIIIvsCIII_peak_29
chr1,3556079,3556286,208,3556095,79,4.80227,1.63052,2.29697,hmeDIP2x_TIIIvsCIII_peak_30
chr1,3827782,3828130,349,3828001,101,21.88464,3.06065,17.69266,hmeDIP2x_TIIIvsCIII_peak_31
chr1,4016411,4017121,711,4017041,93,5.47681,1.63277,2.83812,hmeDIP2x_TIIIvsCIII_peak_32
chr1,4031518,4031883,366,4031543,115,5.74388,1.57322,3.04263,hmeDIP2x_TIIIvsCIII_peak_33
chr1,4314549,4314923,375,4314630,90,7.14992,1.8077,4.22232,hmeDIP2x_TIIIvsCIII_peak_34
chr1,5226892,5227646,755,5227055,130,15.02312,2.16356,11.25514,hmeDIP2x_TIIIvsCIII_peak_35
chr1,5228288,5228555,268,5228442,90,5.29646,1.62879,2.68011,hmeDIP2x_TIIIvsCIII_peak_36
chr1,5229442,5230412,971,5229803,122,12.76032,2.06038,9.18226,hmeDIP2x_TIIIvsCIII_peak_37
chr1,5826230,5826614,385,5826513,33,20.26109,7.04209,16.15797,hmeDIP2x_TIIIvsCIII_peak_38
chr1,5869921,5870257,337,5870137,25,12.03165,4.94912,8.52347,hmeDIP2x_TIIIvsCIII_peak_39
chr1,6454112,6454455,344,6454405,109,4.9569,1.52708,2.40223,hmeDIP2x_TIIIvsCIII_peak_40
chr1,6454848,6455523,676,6454857,103,6.55098,1.68522,3.71986,hmeDIP2x_TIIIvsCIII_peak_41
chr1,7048425,7048625,201,7048433,109,4.74898,1.50926,2.25091,hmeDIP2x_TIIIvsCIII_peak_42
chr1,7750943,7751339,397,7751026,88,8.66558,1.96746,5.52734,hmeDIP2x_TIIIvsCIII_peak_43
chr1,7965978,7966318,341,7966111,49,5.50764,1.98061,2.86187,hmeDIP2x_TIIIvsCIII_peak_44
chr1,8336979,8337339,361,8337265,46,9.45538,2.73843,6.22642,hmeDIP2x_TIIIvsCIII_peak_45
chr1,8346415,8346874,460,8346652,82,16.04423,2.81373,12.19931,hmeDIP2x_TIIIvsCIII_peak_46
chr1,8711045,8711249,205,8711193,68,9.23168,2.24214,6.02583,hmeDIP2x_TIIIvsCIII_peak_47
chr1,8974778,8975019,242,8974882,15,8.94329,5.11717,5.77123,hmeDIP2x_TIIIvsCIII_peak_48
chr1,9005691,9005897,207,9005840,23,5.74563,2.77257,3.04264,hmeDIP2x_TIIIvsCIII_peak_49
chr1,9139804,9140003,200,9139914,41,13.08826,3.74722,9.48053,hmeDIP2x_TIIIvsCIII_peak_50
chr1,10257519,10257734,216,10257626,145,13.74004,1.99158,10.07267,hmeDIP2x_TIIIvsCIII_peak_51
chr1,10767215,10767461,247,10767350,45,6.59939,2.23671,3.7593,hmeDIP2x_TIIIvsCIII_peak_52
chr1,11255823,11256111,289,11255962,41,17.25941,4.852,13.32977,hmeDIP2x_TIIIvsCIII_peak_53
chr1,11626420,11626618,199,11626517,17,12.35027,6.66325,8.81175,hmeDIP2x_TIIIvsCIII_peak_54
chr1,11799768,11800359,592,11799904,109,7.43517,1.73158,4.47542,hmeDIP2x_TIIIvsCIII_peak_55
chr1,11948883,11949097,215,11949096,14,4.91784,3.1068,2.36766,hmeDIP2x_TIIIvsCIII_peak_56
chr1,12393682,12393877,196,12393789,31,10.34324,3.69676,7.01013,hmeDIP2x_TIIIvsCIII_peak_57
chr1,13229732,13229960,229,13229836,63,8.12489,2.16963,5.06292,hmeDIP2x_TIIIvsCIII_peak_58
chr1,13272102,13272305,204,13272187,20,9.04598,4.34953,5.85948,hmeDIP2x_TIIIvsCIII_peak_59
chr1,14528609,14528834,226,14528707,25,11.13211,4.57843,7.71335,hmeDIP2x_TIIIvsCIII_peak_60
chr1,14811729,14811965,237,14811862,39,10.35376,3.20401,7.01941,hmeDIP2x_TIIIvsCIII_peak_61
chr1,15500482,15500788,307,15500611,16,9.84938,5.43699,6.56693,hmeDIP2x_TIIIvsCIII_peak_62
chr1,15858212,15858417,206,15858317,45,8.32025,2.55359,5.23049,hmeDIP2x_TIIIvsCIII_peak_63
chr1,16436572,16436776,205,16436724,103,9.07077,1.89797,5.88108,hmeDIP2x_TIIIvsCIII_peak_64
chr1,16437747,16438111,365,16437849,94,5.32856,1.61435,2.70993,hmeDIP2x_TIIIvsCIII_peak_65
chr1,17059513,17060240,728,17059897,127,9.7268,1.81996,6.45853,hmeDIP2x_TIIIvsCIII_peak_66
chr1,17488231,17488524,294,17488296,49,8.80533,2.53611,5.65302,hmeDIP2x_TIIIvsCIII_peak_67
chr1,17861895,17862214,320,17862123,42,16.62507,4.58294,12.74015,hmeDIP2x_TIIIvsCIII_peak_68
chr1,17907209,17907444,236,17907398,72,8.55956,2.10968,5.43665,hmeDIP2x_TIIIvsCIII_peak_69
chr1,18053250,18053504,255,18053388,25,9.59869,3.98193,6.34901,hmeDIP2x_TIIIvsCIII_peak_70
chr1,18178164,18178356,193,18178310,36,8.7481,2.96371,5.60007,hmeDIP2x_TIIIvsCIII_peak_71
chr1,18204936,18205166,231,18205053,22,9.71473,4.37807,6.4489,hmeDIP2x_TIIIvsCIII_peak_72
chr1,18212810,18213005,196,18212951,28,8.00444,3.19328,4.9565,hmeDIP2x_TIIIvsCIII_peak_73
chr1,18516677,18516969,293,18516845,16,8.67643,4.78593,5.53469,hmeDIP2x_TIIIvsCIII_peak_74
chr1,18814942,18815142,201,18815024,105,9.75078,1.94162,6.48078,hmeDIP2x_TIIIvsCIII_peak_75
chr1,19557469,19557680,212,19557576,20,12.31145,5.96095,8.78026,hmeDIP2x_TIIIvsCIII_peak_76
chr1,19649559,19649781,223,19649564,17,5.14726,2.94881,2.54855,hmeDIP2x_TIIIvsCIII_peak_77
chr1,20259486,20259765,280,20259665,13,5.50519,3.51987,2.85971,hmeDIP2x_TIIIvsCIII_peak_78
chr1,20503068,20503401,334,20503207,19,10.13652,5.02838,6.82818,hmeDIP2x_TIIIvsCIII_peak_79
chr1,20629001,20629244,244,20629082,121,19.05411,2.53042,15.01594,hmeDIP2x_TIIIvsCIII_peak_80
chr1,20942631,20943075,445,20942865,75,9.38421,2.16971,6.15953,hmeDIP2x_TIIIvsCIII_peak_81
chr1,21053417,21053690,274,21053635,13,5.50313,3.51875,2.85971,hmeDIP2x_TIIIvsCIII_peak_82
chr1,21737622,21738135,514,21737996,122,18.59453,2.48538,14.58339,hmeDIP2x_TIIIvsCIII_peak_83
chr1,22257743,22257965,223,22257778,55,7.3622,2.18153,4.40812,hmeDIP2x_TIIIvsCIII_peak_84
chr1,22265607,22265817,211,22265711,23,8.92112,3.93175,5.75724,hmeDIP2x_TIIIvsCIII_peak_85
chr1,22939061,22939258,198,22939163,43,12.64063,3.52442,9.07741,hmeDIP2x_TIIIvsCIII_peak_86
chr1,24036184,24036491,308,24036389,32,14.75487,5.05399,11.0084,hmeDIP2x_TIIIvsCIII_peak_87
chr1,24140046,24140400,355,24140247,109,9.32835,1.88286,6.11141,hmeDIP2x_TIIIvsCIII_peak_88
chr1,24272010,24272222,213,24272109,28,12.55304,4.75087,8.99585,hmeDIP2x_TIIIvsCIII_peak_89
chr1,24333392,24333589,198,24333455,94,6.10819,1.68754,3.35282,hmeDIP2x_TIIIvsCIII_peak_90
chr1,24349143,24349345,203,24349323,139,8.95202,1.72011,5.77962,hmeDIP2x_TIIIvsCIII_peak_91
chr1,24546325,24546621,297,24546560,19,12.70938,6.39646,9.136,hmeDIP2x_TIIIvsCIII_peak_92
chr1,24623314,24623567,254,24623466,25,7.78235,3.33097,4.7594,hmeDIP2x_TIIIvsCIII_peak_93
chr1,24760524,24760750,227,24760703,22,10.59152,4.76377,7.22896,hmeDIP2x_TIIIvsCIII_peak_94
chr1,24776024,24776285,262,24776166,23,4.9961,2.52448,2.43333,hmeDIP2x_TIIIvsCIII_peak_95
chr1,24782885,24783194,310,24783062,34,12.98622,4.25228,9.39007,hmeDIP2x_TIIIvsCIII_peak_96
chr1,24788156,24788518,363,24788234,22,12.75006,5.78264,9.17255,hmeDIP2x_TIIIvsCIII_peak_97
chr1,24791786,24792139,354,24791831,28,6.30324,2.68943,3.50747,hmeDIP2x_TIIIvsCIII_peak_98
chr1,24930905,24931402,498,24930949,45,8.00569,2.49469,4.95731,hmeDIP2x_TIIIvsCIII_peak_99
chr1,25122692,25122998,307,25122917,45,6.86014,2.28395,3.98517,hmeDIP2x_TIIIvsCIII_peak_100
chr1,25144510,25144751,242,25144632,27,7.92543,3.23467,4.88452,hmeDIP2x_TIIIvsCIII_peak_101
chr1,25331312,25331528,217,25331377,14,9.59749,5.70478,6.34901,hmeDIP2x_TIIIvsCIII_peak_102
chr1,25395256,25395791,536,25395347,16,6.20058,3.52104,3.4295,hmeDIP2x_TIIIvsCIII_peak_103
chr1,25419824,25420035,212,25419942,14,6.21381,3.77129,3.43801,hmeDIP2x_TIIIvsCIII_peak_104
chr1,25789692,25789910,219,25789757,23,12.4434,5.45112,8.8957,hmeDIP2x_TIIIvsCIII_peak_105
chr1,26059308,26059583,276,26059440,33,9.38094,3.28261,6.15645,hmeDIP2x_TIIIvsCIII_peak_106
chr1,26115938,26116136,199,26116067,16,11.32345,6.29307,7.88607,hmeDIP2x_TIIIvsCIII_peak_107
chr1,26598896,26599090,195,26598993,77,6.64745,1.84578,3.80175,hmeDIP2x_TIIIvsCIII_peak_108
chr1,27438444,27438662,219,27438560,96,16.3447,2.61073,12.47974,hmeDIP2x_TIIIvsCIII_peak_109
chr1,27580813,27581085,273,27580924,84,5.32267,1.66045,2.70449,hmeDIP2x_TIIIvsCIII_peak_110
chr1,27694970,27695189,220,27695145,37,8.06779,2.76155,5.01125,hmeDIP2x_TIIIvsCIII_peak_111
chr1,27844488,27844728,241,27844608,36,9.17654,3.06825,5.97421,hmeDIP2x_TIIIvsCIII_peak_112
chr1,28025284,28025477,194,28025359,24,20.56971,9.50796,16.44701,hmeDIP2x_TIIIvsCIII_peak_113
chr1,28042860,28043084,225,28042964,21,5.9767,2.98095,3.23499,hmeDIP2x_TIIIvsCIII_peak_114
chr1,28308418,28309175,758,28308905,145,17.31959,2.20951,13.38725,hmeDIP2x_TIIIvsCIII_peak_115
chr1,28344026,28344242,217,28344142,36,19.09989,6.06145,15.05877,hmeDIP2x_TIIIvsCIII_peak_116
chr1,28936383,28936747,365,28936604,73,8.25025,2.06252,5.17383,hmeDIP2x_TIIIvsCIII_peak_117
chr1,28979733,28980080,348,28979891,146,12.22462,1.89525,8.70175,hmeDIP2x_TIIIvsCIII_peak_118
chr1,29426678,29426978,301,29426777,31,11.62472,4.09966,8.1584,hmeDIP2x_TIIIvsCIII_peak_119
chr1,29750063,29750319,257,29750171,38,8.55801,2.83422,5.43526,hmeDIP2x_TIIIvsCIII_peak_120
chr1,29934203,29934447,245,29934291,21,11.85954,5.53122,8.3663,hmeDIP2x_TIIIvsCIII_peak_121
chr1,30526208,30526420,213,30526346,10,4.83668,3.51805,2.31086,hmeDIP2x_TIIIvsCIII_peak_122
chr1,30713490,30713683,194,30713548,15,7.84876,4.50441,4.81654,hmeDIP2x_TIIIvsCIII_peak_123
chr1,32461492,32461807,316,32461577,72,9.73031,2.24784,6.4617,hmeDIP2x_TIIIvsCIII_peak_124
chr1,32799723,32800013,291,32799826,16,9.84938,5.43699,6.56693,hmeDIP2x_TIIIvsCIII_peak_125
chr1,32938989,32939453,465,32939074,15,10.29295,5.90607,6.96765,hmeDIP2x_TIIIvsCIII_peak_126
chr1,32949568,32949781,214,32949671,23,13.65884,6.03406,10.00419,hmeDIP2x_TIIIvsCIII_peak_127
chr1,33228068,33228264,197,33228180,45,11.8006,3.2427,8.31296,hmeDIP2x_TIIIvsCIII_peak_128
chr1,33999304,33999907,604,33999663,202,17.66439,1.95317,13.71226,hmeDIP2x_TIIIvsCIII_peak_129
chr1,34016172,34016724,553,34016285,268,35.64372,2.38336,30.92736,hmeDIP2x_TIIIvsCIII_peak_130
chr1,34555630,34555833,204,34555730,56,22.6174,4.89958,18.38918,hmeDIP2x_TIIIvsCIII_peak_131
chr1,34692773,34692994,222,34692790,40,5.73968,2.17816,3.03855,hmeDIP2x_TIIIvsCIII_peak_132
chr1,34798836,34799051,216,34798976,15,6.94967,4.02271,4.04989,hmeDIP2x_TIIIvsCIII_peak_133
chr1,34952498,34952709,212,34952597,20,10.98807,5.2798,7.586,hmeDIP2x_TIIIvsCIII_peak_134
chr1,35417012,35417285,274,35417105,38,10.75424,3.35235,7.37729,hmeDIP2x_TIIIvsCIII_peak_135
chr1,36999642,36999859,218,36999769,18,8.37793,4.31547,5.27865,hmeDIP2x_TIIIvsCIII_peak_136
chr1,37006510,37006795,286,37006676,23,8.92112,3.93175,5.75724,hmeDIP2x_TIIIvsCIII_peak_137
chr1,37443610,37443858,249,37443690,44,16.34116,4.34463,12.47631,hmeDIP2x_TIIIvsCIII_peak_138
chr1,37656539,37656734,196,37656620,27,11.79555,4.58704,8.30852,hmeDIP2x_TIIIvsCIII_peak_139
chr1,37674956,37675213,258,37675092,15,8.94329,5.11717,5.77123,hmeDIP2x_TIIIvsCIII_peak_140
chr1,37681558,37681789,232,37681693,23,7.66537,3.45083,4.66517,hmeDIP2x_TIIIvsCIII_peak_141
chr1,37820140,37820456,317,37820258,56,16.09498,3.58782,12.24578,hmeDIP2x_TIIIvsCIII_peak_142
chr1,37864639,37864851,213,37864698,17,5.14726,2.94881,2.54855,hmeDIP2x_TIIIvsCIII_peak_143
chr1,37959716,37960103,388,37959805,80,7.16892,1.87895,4.24007,hmeDIP2x_TIIIvsCIII_peak_144
chr1,38109633,38111010,1378,38109855,127,19.49116,2.50045,15.42698,hmeDIP2x_TIIIvsCIII_peak_145
chr1,38156317,38156531,215,38156398,11,6.58937,4.44217,3.75028,hmeDIP2x_TIIIvsCIII_peak_146
chr1,38396753,38397255,503,38396920,96,7.66945,1.81929,4.66892,hmeDIP2x_TIIIvsCIII_peak_147
chr1,39225948,39226297,350,39226079,52,21.29827,4.91516,17.13812,hmeDIP2x_TIIIvsCIII_peak_148
chr1,39639794,39640042,249,39639903,90,17.3044,2.8021,13.37274,hmeDIP2x_TIIIvsCIII_peak_149
chr1,39650594,39650874,281,39650833,94,5.97246,1.67489,3.23347,hmeDIP2x_TIIIvsCIII_peak_150
chr1,39777838,39778086,249,39778020,22,6.06998,2.94663,3.31891,hmeDIP2x_TIIIvsCIII_peak_151
chr1,39779842,39780034,193,39779906,18,8.37793,4.31547,5.27865,hmeDIP2x_TIIIvsCIII_peak_152
chr1,39781161,39781436,276,39781402,26,6.07645,2.71841,3.32428,hmeDIP2x_TIIIvsCIII_peak_153
chr1,39905159,39905387,229,39905309,14,8.06308,4.79735,5.00724,hmeDIP2x_TIIIvsCIII_peak_154
chr1,39956988,39957468,481,39957410,122,14.95814,2.21844,11.19604,hmeDIP2x_TIIIvsCIII_peak_155
chr1,40453544,40453833,290,40453660,14,9.59749,5.70478,6.34901,hmeDIP2x_TIIIvsCIII_peak_156
chr1,40479190,40479411,222,40479280,14,9.59749,5.70478,6.34901,hmeDIP2x_TIIIvsCIII_peak_157
chr1,40527875,40528131,257,40527997,27,16.01669,6.35964,12.17329,hmeDIP2x_TIIIvsCIII_peak_158
chr1,40624487,40624691,205,40624613,21,9.80927,4.55665,6.53261,hmeDIP2x_TIIIvsCIII_peak_159
chr1,40655542,40655799,258,40655650,97,10.97925,2.10698,7.58019,hmeDIP2x_TIIIvsCIII_peak_160
chr1,40810705,40810898,194,40810848,33,6.54304,2.54968,3.71253,hmeDIP2x_TIIIvsCIII_peak_161
chr1,41699101,41699678,578,41699566,162,19.87848,2.24958,15.79321,hmeDIP2x_TIIIvsCIII_peak_162
chr1,41699913,41700462,550,41700053,120,10.78767,1.93059,7.40572,hmeDIP2x_TIIIvsCIII_peak_163
chr1,41950258,41950968,711,41950616,98,8.74685,1.90233,5.59956,hmeDIP2x_TIIIvsCIII_peak_164
chr1,42276619,42277186,568,42276818,99,5.58637,1.61748,2.92009,hmeDIP2x_TIIIvsCIII_peak_165
chr1,42599579,42599958,380,42599853,106,8.15982,1.80523,5.09521,hmeDIP2x_TIIIvsCIII_peak_166
chr1,42600432,42600772,341,42600454,102,6.41035,1.67755,3.59676,hmeDIP2x_TIIIvsCIII_peak_167
chr1,43193323,43193560,238,43193451,82,17.15103,2.94095,13.22885,hmeDIP2x_TIIIvsCIII_peak_168
chr1,43339677,43340013,337,43339810,14,8.06308,4.79735,5.00724,hmeDIP2x_TIIIvsCIII_peak_169
chr1,43393766,43393993,228,43393873,13,7.21037,4.47752,4.27243,hmeDIP2x_TIIIvsCIII_peak_170
chr1,43394406,43394617,212,43394541,21,8.24213,3.87405,5.16808,hmeDIP2x_TIIIvsCIII_peak_171
chr1,43447673,43448026,354,43447874,32,10.98147,3.81229,7.58152,hmeDIP2x_TIIIvsCIII_peak_172
chr1,43452696,43453152,457,43452853,75,29.28923,4.91535,24.78392,hmeDIP2x_TIIIvsCIII_peak_173
chr1,43522226,43523421,1196,43522780,143,16.68692,2.18364,12.79819,hmeDIP2x_TIIIvsCIII_peak_174
chr1,43716371,43716621,251,43716494,88,21.03996,3.25156,16.89448,hmeDIP2x_TIIIvsCIII_peak_175
chr1,44160626,44160846,221,44160755,84,8.18737,1.95247,5.11941,hmeDIP2x_TIIIvsCIII_peak_176
chr1,44601116,44601412,297,44601269,39,23.08577,7.04374,18.83517,hmeDIP2x_TIIIvsCIII_peak_177
chr1,44652553,44652760,208,44652632,28,12.55304,4.75087,8.99585,hmeDIP2x_TIIIvsCIII_peak_178
chr1,44815004,44815291,288,44815184,105,6.45762,1.66861,3.6396,hmeDIP2x_TIIIvsCIII_peak_179
chr1,44888114,44888443,330,44888299,77,27.01138,4.43472,22.59263,hmeDIP2x_TIIIvsCIII_peak_180
chr1,44901680,44901934,255,44901840,24,7.72002,3.38745,4.7046,hmeDIP2x_TIIIvsCIII_peak_181
chr1,44907711,44908060,350,44907795,28,5.2863,2.40484,2.67105,hmeDIP2x_TIIIvsCIII_peak_182
chr1,44916454,44916821,368,44916457,16,4.82944,2.88964,2.31086,hmeDIP2x_TIIIvsCIII_peak_183
chr1,44917317,44917569,253,44917477,30,10.31027,3.7663,6.983,hmeDIP2x_TIIIvsCIII_peak_184
chr1,44941580,44941783,204,44941742,19,9.11834,4.52677,5.92367,hmeDIP2x_TIIIvsCIII_peak_185
chr1,45093136,45093551,416,45093271,56,12.4419,2.95492,8.89545,hmeDIP2x_TIIIvsCIII_peak_186
chr1,45100979,45101409,431,45101124,24,8.92222,3.82878,5.75724,hmeDIP2x_TIIIvsCIII_peak_187
