chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,1431569,1431872,304,1431655,32,9.64361,3.41853,6.14319,meDIP2x_TIIIvsCIII_peak_1
chr1,1637650,1637913,264,1637851,14,5.57202,3.43629,2.82332,meDIP2x_TIIIvsCIII_peak_2
chr1,3679096,3679535,440,3679236,27,11.85404,4.60943,8.0716,meDIP2x_TIIIvsCIII_peak_3
chr1,5433985,5434285,301,5434207,31,6.6516,2.65407,3.68384,meDIP2x_TIIIvsCIII_peak_4
chr1,6121509,6121833,325,6121673,19,11.2394,5.59808,7.52283,meDIP2x_TIIIvsCIII_peak_5
chr1,6298250,6298557,308,6298432,34,12.24019,4.02678,8.4019,meDIP2x_TIIIvsCIII_peak_6
chr1,9359468,9359753,286,9359476,14,6.38313,3.86157,3.45185,meDIP2x_TIIIvsCIII_peak_7
chr1,11450789,11451042,254,11450884,30,11.86416,4.2761,8.08003,meDIP2x_TIIIvsCIII_peak_8
chr1,11604949,11605211,263,11605052,21,13.84988,6.56104,9.84551,meDIP2x_TIIIvsCIII_peak_9
chr1,12916539,12916988,450,12916666,17,8.70712,4.63389,5.33842,meDIP2x_TIIIvsCIII_peak_10
chr1,13309335,13309785,451,13309668,27,9.81009,3.86228,6.28127,meDIP2x_TIIIvsCIII_peak_11
chr1,13925060,13925722,663,13925092,47,5.18532,1.9547,2.52412,meDIP2x_TIIIvsCIII_peak_12
chr1,13926095,13926523,429,13926406,23,7.91943,3.54565,4.68744,meDIP2x_TIIIvsCIII_peak_13
chr1,13942054,13942350,297,13942172,25,17.70634,7.63877,13.40049,meDIP2x_TIIIvsCIII_peak_14
chr1,15060926,15061284,359,15061047,66,9.60746,2.31972,6.11062,meDIP2x_TIIIvsCIII_peak_15
chr1,16377642,16377886,245,16377687,17,6.84973,3.71448,3.81141,meDIP2x_TIIIvsCIII_peak_16
chr1,16670445,16670827,383,16670732,55,8.62406,2.37342,5.2714,meDIP2x_TIIIvsCIII_peak_17
chr1,17989944,17990275,332,17989970,35,4.74043,2.07551,2.21424,meDIP2x_TIIIvsCIII_peak_18
chr1,19513402,19513706,305,19513497,69,13.28042,2.7432,9.33621,meDIP2x_TIIIvsCIII_peak_19
chr1,19514945,19515284,340,19515084,28,14.75066,5.62668,10.67325,meDIP2x_TIIIvsCIII_peak_20
chr1,19675969,19676418,450,19676311,26,7.31726,3.10637,4.20748,meDIP2x_TIIIvsCIII_peak_21
chr1,19757183,19757439,257,19757271,16,6.17355,3.50812,3.28452,meDIP2x_TIIIvsCIII_peak_22
chr1,19920169,19920550,382,19920487,31,8.50688,3.15768,5.17167,meDIP2x_TIIIvsCIII_peak_23
chr1,20346738,20347032,295,20346975,69,8.24933,2.10783,4.96681,meDIP2x_TIIIvsCIII_peak_24
chr1,20366125,20366465,341,20366402,50,9.21978,2.58244,5.7679,meDIP2x_TIIIvsCIII_peak_25
chr1,20392152,20392456,305,20392229,24,7.94675,3.46865,4.70992,meDIP2x_TIIIvsCIII_peak_26
chr1,21444159,21444435,277,21444381,23,6.7087,3.10465,3.70767,meDIP2x_TIIIvsCIII_peak_27
chr1,23030105,23030414,310,23030295,53,14.90805,3.50146,10.81127,meDIP2x_TIIIvsCIII_peak_28
chr1,23843247,23843492,246,23843318,20,6.698,3.33963,3.70066,meDIP2x_TIIIvsCIII_peak_29
chr1,23886874,23887148,275,23886979,25,10.3796,4.28018,6.76875,meDIP2x_TIIIvsCIII_peak_30
chr1,25014001,25014247,247,25014234,26,5.89773,2.66429,3.07597,meDIP2x_TIIIvsCIII_peak_31
chr1,25094441,25094686,246,25094544,11,5.15725,3.57875,2.49845,meDIP2x_TIIIvsCIII_peak_32
chr1,26065585,26065881,297,26065686,31,10.98979,3.89718,7.30015,meDIP2x_TIIIvsCIII_peak_33
chr1,26120043,26120362,320,26120147,24,11.99518,5.08338,8.18956,meDIP2x_TIIIvsCIII_peak_34
chr1,26363730,26364061,332,26363960,48,13.74136,3.50503,9.75627,meDIP2x_TIIIvsCIII_peak_35
chr1,26491974,26492255,282,26492060,16,6.9647,3.89447,3.90743,meDIP2x_TIIIvsCIII_peak_36
chr1,26567703,26567959,257,26567834,34,14.66321,4.78559,10.59181,meDIP2x_TIIIvsCIII_peak_37
chr1,26784721,26785110,390,26784864,52,11.35577,2.89514,7.62699,meDIP2x_TIIIvsCIII_peak_38
chr1,26917467,26917760,294,26917576,45,10.07861,2.89256,6.51072,meDIP2x_TIIIvsCIII_peak_39
chr1,27661193,27662215,1023,27661291,47,12.60632,3.31935,8.73532,meDIP2x_TIIIvsCIII_peak_40
chr1,27665978,27666319,342,27666159,60,17.85284,3.72323,13.53438,meDIP2x_TIIIvsCIII_peak_41
chr1,27859548,27859792,245,27859680,161,17.63859,2.13172,13.3368,meDIP2x_TIIIvsCIII_peak_42
chr1,27863157,27863420,264,27863206,67,8.57537,2.17346,5.22684,meDIP2x_TIIIvsCIII_peak_43
chr1,27864966,27865404,439,27865312,72,11.38061,2.44603,7.65064,meDIP2x_TIIIvsCIII_peak_44
chr1,28250442,28250764,323,28250615,23,5.7119,2.76122,2.93248,meDIP2x_TIIIvsCIII_peak_45
chr1,28491560,28492311,752,28491709,52,11.80094,2.97321,8.02191,meDIP2x_TIIIvsCIII_peak_46
chr1,28510600,28510892,293,28510726,37,13.49684,4.1428,9.53008,meDIP2x_TIIIvsCIII_peak_47
chr1,28512288,28512535,248,28512379,26,9.48235,3.84046,6.00103,meDIP2x_TIIIvsCIII_peak_48
chr1,28733873,28734391,519,28734073,24,6.73353,3.04467,3.72182,meDIP2x_TIIIvsCIII_peak_49
chr1,28779857,28780165,309,28780079,14,7.28782,4.35686,4.18814,meDIP2x_TIIIvsCIII_peak_50
chr1,29220429,29220879,451,29220534,46,8.54137,2.56738,5.20001,meDIP2x_TIIIvsCIII_peak_51
chr1,29308142,29308393,252,29308243,28,12.18381,4.61187,8.35001,meDIP2x_TIIIvsCIII_peak_52
chr1,29330486,29330735,250,29330531,32,6.33725,2.53486,3.41639,meDIP2x_TIIIvsCIII_peak_53
chr1,29384493,29385212,720,29384983,41,16.28694,4.57888,12.08099,meDIP2x_TIIIvsCIII_peak_54
chr1,29976581,29976947,367,29976807,28,14.30995,5.44433,10.26698,meDIP2x_TIIIvsCIII_peak_55
chr1,29980468,29980741,274,29980525,33,5.40261,2.27556,2.71064,meDIP2x_TIIIvsCIII_peak_56
chr1,30028947,30029393,447,30029298,23,9.42288,4.13267,5.94528,meDIP2x_TIIIvsCIII_peak_57
chr1,30573476,30574053,578,30573632,36,12.10983,3.83289,8.28944,meDIP2x_TIIIvsCIII_peak_58
chr1,31144005,31144546,542,31144198,23,8.62802,3.81672,5.2714,meDIP2x_TIIIvsCIII_peak_59
chr1,32153164,32153420,257,32153298,26,10.71433,4.29381,7.07091,meDIP2x_TIIIvsCIII_peak_60
chr1,32461449,32461881,433,32461595,43,11.45015,3.25945,7.70836,meDIP2x_TIIIvsCIII_peak_61
chr1,33332506,33332847,342,33332519,74,7.77778,1.99808,4.57637,meDIP2x_TIIIvsCIII_peak_62
chr1,33984348,33984717,370,33984469,22,5.65801,2.8011,2.88947,meDIP2x_TIIIvsCIII_peak_63
