chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,1580786,1581050,265,1580945,14,7.1942,4.30463,3.8875,meDIP2x_TIIvsCII_peak_1
chr1,2963194,2963461,268,2963270,24,13.66922,5.84545,9.37679,meDIP2x_TIIvsCII_peak_2
chr1,4127274,4127650,377,4127595,23,7.49293,3.38718,4.14312,meDIP2x_TIIvsCII_peak_3
chr1,6714750,6715106,357,6714903,30,12.15375,4.3751,8.03424,meDIP2x_TIIvsCII_peak_4
chr1,7173325,7173642,318,7173393,26,7.54565,3.18025,4.17577,meDIP2x_TIIvsCII_peak_5
chr1,7187446,7187730,285,7187646,18,10.59701,5.45254,6.67476,meDIP2x_TIIvsCII_peak_6
chr1,12024259,12024529,271,12024376,22,11.91683,5.37781,7.82007,meDIP2x_TIIvsCII_peak_7
chr1,12673109,12673430,322,12673113,15,5.0355,3.06921,2.29049,meDIP2x_TIIvsCII_peak_8
chr1,13171674,13172084,411,13171997,24,11.3292,4.79564,7.31694,meDIP2x_TIIvsCII_peak_9
chr1,13185668,13185996,329,13185676,35,4.7193,2.07085,2.07601,meDIP2x_TIIvsCII_peak_10
chr1,15555306,15555558,253,15555415,29,9.96933,3.73982,6.1508,meDIP2x_TIIvsCII_peak_11
chr1,19326544,19326823,280,19326622,22,7.69713,3.5524,4.2965,meDIP2x_TIIvsCII_peak_12
chr1,19327807,19328119,313,19328101,42,5.76878,2.14293,2.80782,meDIP2x_TIIvsCII_peak_13
chr1,19512856,19513922,1067,19513553,66,22.20111,4.19279,17.33367,meDIP2x_TIIvsCII_peak_14
chr1,19747043,19747294,252,19747158,27,14.55926,5.7115,10.18216,meDIP2x_TIIvsCII_peak_15
chr1,20138319,20138609,291,20138513,33,8.35896,3.00922,4.81875,meDIP2x_TIIvsCII_peak_16
chr1,20345957,20346216,260,20346204,33,4.77209,2.12769,2.11757,meDIP2x_TIIvsCII_peak_17
chr1,20735232,20735492,261,20735276,32,5.54615,2.33921,2.68176,meDIP2x_TIIvsCII_peak_18
chr1,23886652,23887163,512,23887037,19,11.50565,5.73951,7.45929,meDIP2x_TIIvsCII_peak_19
chr1,25261960,25262339,380,25262186,50,14.76463,3.61514,10.37208,meDIP2x_TIIvsCII_peak_20
chr1,25624036,25624361,326,25624061,35,7.07078,2.60452,3.80939,meDIP2x_TIIvsCII_peak_21
chr1,26065695,26065970,276,26065805,33,12.64396,4.23846,8.46023,meDIP2x_TIIvsCII_peak_22
chr1,26066757,26067265,509,26067063,28,7.1347,2.93099,3.85658,meDIP2x_TIIvsCII_peak_23
