chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,176761,177271,511,177129,157,21.50384,2.37507,17.02354,negER_meDIP2x_TIIIvsCIII_peak_1
chr1,840569,840811,243,840676,24,11.37468,4.81501,7.58945,negER_meDIP2x_TIIIvsCIII_peak_2
chr1,858944,859254,311,859004,29,8.34108,3.23144,4.9605,negER_meDIP2x_TIIIvsCIII_peak_3
chr1,870035,870328,294,870260,15,5.82051,3.4481,2.93924,negER_meDIP2x_TIIIvsCIII_peak_4
chr1,878015,878595,581,878436,31,11.69826,4.12348,7.88148,negER_meDIP2x_TIIIvsCIII_peak_5
chr1,1442491,1443283,793,1442547,77,31.57033,5.18586,26.78032,negER_meDIP2x_TIIIvsCIII_peak_6
chr1,1804572,1805042,471,1804834,24,16.49281,7.25167,12.27085,negER_meDIP2x_TIIIvsCIII_peak_7
chr1,2145575,2145821,247,2145589,36,4.93805,2.09738,2.32534,negER_meDIP2x_TIIIvsCIII_peak_8
chr1,2932269,2932649,381,2932564,17,6.79729,3.68979,3.71033,negER_meDIP2x_TIIIvsCIII_peak_9
chr1,3020867,3021170,304,3021053,18,5.61057,3.06435,2.8044,negER_meDIP2x_TIIIvsCIII_peak_10
chr1,3033391,3033826,436,3033568,34,10.60564,3.5567,6.912,negER_meDIP2x_TIIIvsCIII_peak_11
chr1,3050090,3050357,268,3050172,18,7.9183,4.09462,4.61566,negER_meDIP2x_TIIIvsCIII_peak_12
chr1,3912682,3912961,280,3912916,13,6.17808,3.88871,3.22668,negER_meDIP2x_TIIIvsCIII_peak_13
chr1,3997142,3997555,414,3997521,62,7.99519,2.1663,4.68303,negER_meDIP2x_TIIIvsCIII_peak_14
chr1,5736735,5737293,559,5737007,25,9.29459,3.86883,5.772,negER_meDIP2x_TIIIvsCIII_peak_15
chr1,7432147,7432479,333,7432252,24,7.24839,3.22147,4.08099,negER_meDIP2x_TIIIvsCIII_peak_16
chr1,7499063,7499321,259,7499213,30,11.01967,3.99462,7.26462,negER_meDIP2x_TIIIvsCIII_peak_17
chr1,9016632,9016923,292,9016846,16,5.72057,3.2944,2.88674,negER_meDIP2x_TIIIvsCIII_peak_18
chr1,9420138,9420564,427,9420445,32,11.54553,3.98528,7.73984,negER_meDIP2x_TIIIvsCIII_peak_19
chr1,10717858,10718169,312,10718162,24,4.78409,2.41299,2.18801,negER_meDIP2x_TIIIvsCIII_peak_20
chr1,11926129,11926420,292,11926284,26,18.71776,7.91139,14.36911,negER_meDIP2x_TIIIvsCIII_peak_21
chr1,13087027,13087365,339,13087089,28,6.21851,2.66528,3.25571,negER_meDIP2x_TIIIvsCIII_peak_22
chr1,14134796,14135058,263,14134945,16,9.03409,4.98124,5.53774,negER_meDIP2x_TIIIvsCIII_peak_23
chr1,14169824,14170142,319,14169899,14,5.96605,3.6406,3.06131,negER_meDIP2x_TIIIvsCIII_peak_24
chr1,14228394,14228802,409,14228528,19,5.58643,2.97603,2.79267,negER_meDIP2x_TIIIvsCIII_peak_25
chr1,14848388,14848637,250,14848476,14,7.35632,4.39522,4.15054,negER_meDIP2x_TIIIvsCIII_peak_26
chr1,15184545,15184963,419,15184740,20,12.67309,6.1533,8.74211,negER_meDIP2x_TIIIvsCIII_peak_27
chr1,15561360,15561621,262,15561484,18,7.02864,3.68198,3.89705,negER_meDIP2x_TIIIvsCIII_peak_28
chr1,16797047,16797384,338,16797168,15,5.10191,3.10061,2.40671,negER_meDIP2x_TIIIvsCIII_peak_29
chr1,17138412,17138685,274,17138574,18,10.8096,5.56727,7.07689,negER_meDIP2x_TIIIvsCIII_peak_30
