chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,57515,57834,320,57724,62,55.10301,14.24827,49.49191,hmeDIP2x_TIIvsCII_peak_1
chr1,331534,331730,197,331713,67,6.44137,1.90688,3.36382,hmeDIP2x_TIIvsCII_peak_2
chr1,1327702,1328355,654,1328103,138,19.6159,2.40774,15.14126,hmeDIP2x_TIIvsCII_peak_3
chr1,1601593,1601849,257,1601722,22,7.47818,3.46787,4.20119,hmeDIP2x_TIIvsCII_peak_4
chr1,1879578,1879877,300,1879863,18,7.45678,3.87811,4.18471,hmeDIP2x_TIIvsCII_peak_5
chr1,2364209,2364401,193,2364309,66,9.43614,2.29755,5.84489,hmeDIP2x_TIIvsCII_peak_6
chr1,3827747,3828034,288,3827986,103,14.37838,2.34628,10.25891,hmeDIP2x_TIIvsCII_peak_7
chr1,5072421,5072639,219,5072549,21,13.00025,6.11191,9.00209,hmeDIP2x_TIIvsCII_peak_8
chr1,5143949,5144199,251,5144111,101,7.69337,1.79294,4.38041,hmeDIP2x_TIIvsCII_peak_9
chr1,5229485,5229715,231,5229645,134,6.94703,1.60361,3.7602,hmeDIP2x_TIIvsCII_peak_10
chr1,5801886,5802075,190,5801987,34,11.43512,3.79123,7.5969,hmeDIP2x_TIIvsCII_peak_11
chr1,6621449,6621654,206,6621581,84,14.80678,2.64022,10.65347,hmeDIP2x_TIIvsCII_peak_12
chr1,7437581,7437942,362,7437625,24,6.12501,2.84137,3.11123,hmeDIP2x_TIIvsCII_peak_13
chr1,8927720,8927918,199,8927815,58,5.05651,1.80829,2.28912,hmeDIP2x_TIIvsCII_peak_14
chr1,9052929,9053120,192,9053082,57,9.19323,2.42045,5.63513,hmeDIP2x_TIIvsCII_peak_15
chr1,10450031,10450279,249,10450126,52,8.90303,2.48093,5.38555,hmeDIP2x_TIIvsCII_peak_16
chr1,11231638,11231879,242,11231732,18,7.45678,3.87811,4.18471,hmeDIP2x_TIIvsCII_peak_17
chr1,12342400,12342603,204,12342498,52,13.97533,3.36922,9.89115,hmeDIP2x_TIIvsCII_peak_18
