chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,75800,75989,190,75894,21,10.65991,4.9499,7.31949,negER_hmeDIP2x_TIIIvsCIII_peak_1
chr1,83800,83995,196,83843,28,5.64654,2.5044,3.06337,negER_hmeDIP2x_TIIIvsCIII_peak_2
chr1,99249,99557,309,99444,181,67.42594,5.01856,62.20288,negER_hmeDIP2x_TIIIvsCIII_peak_3
chr1,176672,177266,595,176828,229,52.00378,3.29666,47.04962,negER_hmeDIP2x_TIIIvsCIII_peak_4
chr1,177534,177794,261,177691,121,35.72614,3.93858,31.15801,negER_hmeDIP2x_TIIIvsCIII_peak_5
chr1,343127,343340,214,343241,76,19.48561,3.38506,15.47527,negER_hmeDIP2x_TIIIvsCIII_peak_6
chr1,454591,454800,210,454720,42,9.31696,2.84652,6.138,negER_hmeDIP2x_TIIIvsCIII_peak_7
chr1,607062,607289,228,607135,40,5.85155,2.20043,3.2338,negER_hmeDIP2x_TIIIvsCIII_peak_8
chr1,707911,708183,273,708017,68,13.65068,2.81515,10.01498,negER_hmeDIP2x_TIIIvsCIII_peak_9
chr1,829573,830130,558,829915,108,13.39446,2.21562,9.77634,negER_hmeDIP2x_TIIIvsCIII_peak_10
chr1,847752,848119,368,847884,78,26.95443,4.37796,22.64829,negER_hmeDIP2x_TIIIvsCIII_peak_11
chr1,848459,848784,326,848648,43,17.63666,4.76779,13.72643,negER_hmeDIP2x_TIIIvsCIII_peak_12
chr1,938346,938608,263,938461,33,29.25642,11.4302,24.87231,negER_hmeDIP2x_TIIIvsCIII_peak_13
chr1,938933,939575,643,939326,32,28.01966,11.09402,23.67624,negER_hmeDIP2x_TIIIvsCIII_peak_14
chr1,950306,950933,628,950658,45,10.2727,2.93107,6.97159,negER_hmeDIP2x_TIIIvsCIII_peak_15
chr1,973843,974241,399,973945,28,10.83381,4.12317,7.47003,negER_hmeDIP2x_TIIIvsCIII_peak_16
chr1,978320,978552,233,978352,11,5.16107,3.58099,2.68017,negER_hmeDIP2x_TIIIvsCIII_peak_17
chr1,1060460,1061178,719,1060559,32,5.66739,2.36888,3.07723,negER_hmeDIP2x_TIIIvsCIII_peak_18
chr1,1173677,1173871,195,1173841,15,4.4687,2.80601,2.13109,negER_hmeDIP2x_TIIIvsCIII_peak_19
chr1,1230712,1230922,211,1230775,12,6.43352,4.18516,3.70278,negER_hmeDIP2x_TIIIvsCIII_peak_20
chr1,1238381,1238681,301,1238645,32,6.83008,2.65943,4.03675,negER_hmeDIP2x_TIIIvsCIII_peak_21
chr1,1290977,1291212,236,1291110,35,8.54021,2.95873,5.47382,negER_hmeDIP2x_TIIIvsCIII_peak_22
chr1,1442491,1443046,556,1442531,120,66.01033,7.70999,60.80767,negER_hmeDIP2x_TIIIvsCIII_peak_23
chr1,1465940,1466133,194,1466077,52,16.21264,3.80456,12.38504,negER_hmeDIP2x_TIIIvsCIII_peak_24
chr1,1476096,1476330,235,1476249,48,15.98175,3.98408,12.1745,negER_hmeDIP2x_TIIIvsCIII_peak_25
chr1,1515881,1516087,207,1516077,36,5.04024,2.11947,2.58175,negER_hmeDIP2x_TIIIvsCIII_peak_26
chr1,1826751,1827165,415,1826849,43,12.30942,3.44959,8.7887,negER_hmeDIP2x_TIIIvsCIII_peak_27
chr1,1831459,1831756,298,1831460,42,4.4297,1.89036,2.11046,negER_hmeDIP2x_TIIIvsCIII_peak_28
chr1,1847079,1847374,296,1847150,29,6.60757,2.72929,3.8512,negER_hmeDIP2x_TIIIvsCIII_peak_29
chr1,1964806,1965043,238,1964891,34,13.29006,4.34616,9.67796,negER_hmeDIP2x_TIIIvsCIII_peak_30
chr1,1979627,1979854,228,1979739,257,73.34595,3.96523,68.04556,negER_hmeDIP2x_TIIIvsCIII_peak_31
chr1,2222298,2222631,334,2222515,20,10.74293,5.15772,7.39582,negER_hmeDIP2x_TIIIvsCIII_peak_32
chr1,2254157,2254739,583,2254596,30,6.57979,2.67712,3.82701,negER_hmeDIP2x_TIIIvsCIII_peak_33
chr1,2332235,2332697,463,2332553,19,13.89319,7.06757,10.2293,negER_hmeDIP2x_TIIIvsCIII_peak_34
chr1,2354113,2354426,314,2354180,32,5.27392,2.27298,2.77247,negER_hmeDIP2x_TIIIvsCIII_peak_35
chr1,2371597,2371931,335,2371733,42,25.8659,7.54114,21.59776,negER_hmeDIP2x_TIIIvsCIII_peak_36
chr1,2476285,2476566,282,2476542,21,5.12004,2.66987,2.65634,negER_hmeDIP2x_TIIIvsCIII_peak_37
chr1,2585538,2585736,199,2585542,20,4.79147,2.6077,2.37602,negER_hmeDIP2x_TIIIvsCIII_peak_38
