chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,400616,400858,243,400622,34,5.49589,2.26987,2.73639,negER_meDIP2x_TIIvsCII_peak_1
chr1,1442491,1443337,847,1442539,129,24.36991,2.83469,19.54061,negER_meDIP2x_TIIvsCII_peak_2
chr1,1804566,1805077,512,1805012,23,11.72376,5.11999,7.83422,negER_meDIP2x_TIIvsCII_peak_3
chr1,1991152,1991454,303,1991399,14,5.03646,3.16565,2.40787,negER_meDIP2x_TIIvsCII_peak_4
chr1,2360329,2360602,274,2360494,20,8.41085,4.06395,5.03072,negER_meDIP2x_TIIvsCII_peak_5
chr1,2461313,2461715,403,2461473,23,6.47225,3.02165,3.48907,negER_meDIP2x_TIIvsCII_peak_6
chr1,2590807,2591229,423,2590903,30,11.59228,4.18431,7.72055,negER_meDIP2x_TIIvsCII_peak_7
chr1,2855901,2856212,312,2856113,23,12.98746,5.70842,8.94296,negER_meDIP2x_TIIvsCII_peak_8
chr1,3033293,3033649,357,3033545,38,6.78906,2.44461,3.74458,negER_meDIP2x_TIIvsCII_peak_9
chr1,3997139,3997529,391,3997161,60,6.90448,2.04432,3.81915,negER_meDIP2x_TIIvsCII_peak_10
chr1,4431320,4431636,317,4431564,37,5.35403,2.16455,2.6634,negER_meDIP2x_TIIvsCII_peak_11
chr1,6112306,6112716,411,6112357,15,7.58203,4.35936,4.35698,negER_meDIP2x_TIIvsCII_peak_12
chr1,7898949,7899219,271,7899189,36,4.69679,2.04537,2.15944,negER_meDIP2x_TIIvsCII_peak_13
chr1,8792702,8792964,263,8792732,14,6.79955,4.0869,3.74569,negER_meDIP2x_TIIvsCII_peak_14
chr1,12157784,12158270,487,12157951,34,14.47608,4.72422,10.283,negER_meDIP2x_TIIvsCII_peak_15
chr1,13196402,13196729,328,13196407,43,4.92504,1.96762,2.33089,negER_meDIP2x_TIIvsCII_peak_16
chr1,14560358,14560718,361,14560525,23,14.66627,6.53904,10.45759,negER_meDIP2x_TIIvsCII_peak_17
chr1,15977931,15978222,292,15978043,43,23.08038,6.40039,18.30709,negER_meDIP2x_TIIvsCII_peak_18
chr1,16760590,16760923,334,16760773,20,11.94651,5.76949,8.02349,negER_meDIP2x_TIIvsCII_peak_19
chr1,17492046,17492301,256,17492187,13,6.1019,3.84632,3.18596,negER_meDIP2x_TIIvsCII_peak_20
chr1,17979608,17980049,442,17979716,137,9.26264,1.74746,5.72723,negER_meDIP2x_TIIvsCII_peak_21
chr1,19736942,19737269,328,19737061,22,13.81233,6.31896,9.68173,negER_meDIP2x_TIIvsCII_peak_22
chr1,20338587,20339544,958,20339421,120,14.52186,2.20243,10.32679,negER_meDIP2x_TIIvsCII_peak_23
chr1,20346762,20347212,451,20346987,67,5.16261,1.74728,2.50632,negER_meDIP2x_TIIvsCII_peak_24
chr1,20395146,20395452,307,20395380,26,5.94599,2.67887,3.09429,negER_meDIP2x_TIIvsCII_peak_25
chr1,20695978,20696264,287,20696009,95,9.36061,1.97813,5.80487,negER_meDIP2x_TIIvsCII_peak_26
chr1,20856644,20856895,252,20856765,29,12.83396,4.73147,8.81143,negER_meDIP2x_TIIvsCII_peak_27
chr1,22218436,22218838,403,22218521,102,7.31577,1.75535,4.14601,negER_meDIP2x_TIIvsCII_peak_28
chr1,24001339,24003364,2026,24002578,43,12.31663,3.45121,8.35067,negER_meDIP2x_TIIvsCII_peak_29
chr1,24135101,24136183,1083,24136170,49,5.11278,1.91567,2.47208,negER_meDIP2x_TIIvsCII_peak_30
chr1,24205423,24205680,258,24205572,24,12.43018,5.27608,8.45157,negER_meDIP2x_TIIvsCII_peak_31
chr1,24699043,24699952,910,24699161,23,14.64199,6.52665,10.43777,negER_meDIP2x_TIIvsCII_peak_32
chr1,24700346,24700943,598,24700930,35,4.91882,2.11496,2.32653,negER_meDIP2x_TIIvsCII_peak_33
chr1,24896665,24896908,244,24896848,62,15.15203,3.1993,10.89428,negER_meDIP2x_TIIvsCII_peak_34
chr1,25483074,25483431,358,25483187,15,7.64934,4.3958,4.39896,negER_meDIP2x_TIIvsCII_peak_35
chr1,25658705,25659070,366,25658897,25,14.55115,6.06995,10.35387,negER_meDIP2x_TIIvsCII_peak_36
chr1,25902840,25903147,308,25903041,65,8.36097,2.17299,4.99526,negER_meDIP2x_TIIvsCII_peak_37
chr1,27264108,27264541,434,27264242,114,10.94068,1.97786,7.15813,negER_meDIP2x_TIIvsCII_peak_38
chr1,27931310,27931568,259,27931485,19,6.72579,3.44443,3.68745,negER_meDIP2x_TIIvsCII_peak_39
chr1,28329444,28329729,286,28329637,16,5.56949,3.22433,2.79161,negER_meDIP2x_TIIvsCII_peak_40
chr1,29794981,29795373,393,29795106,22,9.67813,4.36232,6.07105,negER_meDIP2x_TIIvsCII_peak_41
chr1,31595549,31595889,341,31595724,31,9.86211,3.5513,6.23363,negER_meDIP2x_TIIvsCII_peak_42
chr1,31662352,31662593,242,31662473,40,20.48251,5.964,15.84085,negER_meDIP2x_TIIvsCII_peak_43
chr1,33332507,33332834,328,33332523,90,6.64021,1.75896,3.61496,negER_meDIP2x_TIIvsCII_peak_44
chr1,33555654,33555904,251,33555733,26,10.62047,4.25832,6.87406,negER_meDIP2x_TIIvsCII_peak_45
chr1,34428535,34428907,373,34428696,28,7.49461,3.03829,4.29693,negER_meDIP2x_TIIvsCII_peak_46
chr1,34680931,34681167,237,34680965,17,7.0277,3.79878,3.90918,negER_meDIP2x_TIIvsCII_peak_47
chr1,34734132,34734467,336,34734226,19,9.55519,4.73905,5.97391,negER_meDIP2x_TIIvsCII_peak_48
chr1,36231354,36231597,244,36231466,28,11.10367,4.21844,7.28947,negER_meDIP2x_TIIvsCII_peak_49
chr1,38206798,38207070,273,38207000,18,7.73887,4.00982,4.47044,negER_meDIP2x_TIIvsCII_peak_50
chr1,38825889,38826186,298,38826002,41,13.17231,3.76783,9.11048,negER_meDIP2x_TIIvsCII_peak_51
chr1,38897959,38898225,267,38898117,16,8.46249,4.67054,5.06593,negER_meDIP2x_TIIvsCII_peak_52
chr1,39771695,39771938,244,39771807,12,5.37097,3.57159,2.6634,negER_meDIP2x_TIIvsCII_peak_53
chr1,41271013,41271287,275,41271278,12,5.37097,3.57159,2.6634,negER_meDIP2x_TIIvsCII_peak_54
chr1,41570433,41570982,550,41570889,38,9.79973,3.12202,6.17764,negER_meDIP2x_TIIvsCII_peak_55
chr1,41587920,41588162,243,41588096,13,6.0444,3.81444,3.16057,negER_meDIP2x_TIIvsCII_peak_56
chr1,41896761,41897095,335,41896870,17,9.29999,4.94527,5.75029,negER_meDIP2x_TIIvsCII_peak_57
chr1,42385571,42385852,282,42385808,27,9.57061,3.77938,5.98513,negER_meDIP2x_TIIvsCII_peak_58
chr1,42421393,42421667,275,42421434,37,8.01818,2.75018,4.70415,negER_meDIP2x_TIIvsCII_peak_59
chr1,45107806,45108069,264,45107987,25,5.46534,2.57965,2.71753,negER_meDIP2x_TIIvsCII_peak_60
chr1,46332924,46333187,264,46333024,20,10.41169,4.99487,6.69347,negER_meDIP2x_TIIvsCII_peak_61
chr1,46693698,46693958,261,46693778,17,9.29999,4.94527,5.75029,negER_meDIP2x_TIIvsCII_peak_62
chr1,46901830,46902073,244,46901841,62,4.79742,1.73805,2.2474,negER_meDIP2x_TIIvsCII_peak_63
chr1,47086938,47087212,275,47087101,19,11.0431,5.49475,7.23868,negER_meDIP2x_TIIvsCII_peak_64
chr1,47151256,47151552,297,47151406,18,10.09368,5.18474,6.42872,negER_meDIP2x_TIIvsCII_peak_65
chr1,48428619,48428916,298,48428817,24,7.68347,3.37444,4.42629,negER_meDIP2x_TIIvsCII_peak_66
chr1,50320762,50321030,269,50320940,21,8.0374,3.78888,4.71753,negER_meDIP2x_TIIvsCII_peak_67
chr1,50579358,50579603,246,50579374,19,5.48886,2.93725,2.73639,negER_meDIP2x_TIIvsCII_peak_68
chr1,51345819,51346161,343,51345936,32,8.53679,3.10941,5.12138,negER_meDIP2x_TIIvsCII_peak_69
chr1,51379177,51379519,343,51379334,20,9.92964,4.76225,6.29414,negER_meDIP2x_TIIvsCII_peak_70
chr1,52029352,52029595,244,52029508,39,10.65279,3.27464,6.90254,negER_meDIP2x_TIIvsCII_peak_71
chr1,52257540,52258015,476,52257877,32,18.62448,6.54618,14.09655,negER_meDIP2x_TIIvsCII_peak_72
chr1,52504814,52505161,348,52505014,40,4.97547,2.02711,2.36328,negER_meDIP2x_TIIvsCII_peak_73
chr1,52516691,52517054,364,52516739,94,6.02924,1.68018,3.15523,negER_meDIP2x_TIIvsCII_peak_74
chr1,52660418,52660707,290,52660494,20,7.37176,3.61665,4.19206,negER_meDIP2x_TIIvsCII_peak_75
chr1,53592926,53593166,241,53593020,44,11.08023,3.1356,7.26987,negER_meDIP2x_TIIvsCII_peak_76
chr1,53811766,53812020,255,53811980,24,5.43952,2.61922,2.70168,negER_meDIP2x_TIIvsCII_peak_77
chr1,53883304,53883958,655,53883740,29,9.34085,3.5391,5.78653,negER_meDIP2x_TIIvsCII_peak_78
chr1,53921898,53922162,265,53922146,74,7.154,1.92714,4.01375,negER_meDIP2x_TIIvsCII_peak_79
chr1,54089019,54089316,298,54089193,37,22.55817,7.20732,17.8086,negER_meDIP2x_TIIvsCII_peak_80
chr1,54096515,54097146,632,54097037,23,14.04882,6.22725,9.89529,negER_meDIP2x_TIIvsCII_peak_81
chr1,54202876,54203126,251,54202983,25,14.79353,6.18412,10.56532,negER_meDIP2x_TIIvsCII_peak_82
chr1,54205332,54205690,359,54205437,42,11.1345,3.23717,7.31584,negER_meDIP2x_TIIvsCII_peak_83
chr1,54784862,54785111,250,54785036,19,5.41814,2.90927,2.6866,negER_meDIP2x_TIIvsCII_peak_84
chr1,54795927,54796222,296,54796027,33,13.73614,4.58924,9.61881,negER_meDIP2x_TIIvsCII_peak_85
chr1,54910493,54910827,335,54910603,18,7.73887,4.00982,4.47044,negER_meDIP2x_TIIvsCII_peak_86
chr1,55250923,55251664,742,55251535,23,10.49084,4.57739,6.76333,negER_meDIP2x_TIIvsCII_peak_87
chr1,55428457,55428757,301,55428543,21,8.94309,4.17266,5.46359,negER_meDIP2x_TIIvsCII_peak_88
chr1,55693325,55693569,245,55693471,22,8.32639,3.80078,4.96346,negER_meDIP2x_TIIvsCII_peak_89
chr1,55737258,55737570,313,55737319,16,5.56949,3.22433,2.79161,negER_meDIP2x_TIIvsCII_peak_90
chr1,55918788,55919070,283,55918970,65,10.67925,2.47799,6.92635,negER_meDIP2x_TIIvsCII_peak_91
chr1,56377981,56378225,245,56378085,19,7.53058,3.79332,4.32036,negER_meDIP2x_TIIvsCII_peak_92
