chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,99245,99562,318,99445,212,73.54034,4.70713,68.61219,negER_hmeDIP2x_TIvsCI_peak_1
chr1,176756,177230,475,176851,117,20.8453,2.71728,17.07865,negER_hmeDIP2x_TIvsCI_peak_2
chr1,209845,210126,282,210022,53,6.19618,2.03415,3.6932,negER_hmeDIP2x_TIvsCI_peak_3
chr1,331536,331759,224,331726,68,4.22831,1.62302,2.01931,negER_hmeDIP2x_TIvsCI_peak_4
chr1,357791,358048,258,357833,27,4.62723,2.2572,2.34456,negER_hmeDIP2x_TIvsCI_peak_5
chr1,369848,370034,187,369941,43,8.97093,2.7407,6.11621,negER_hmeDIP2x_TIvsCI_peak_6
chr1,432214,432861,648,432376,77,8.11747,2.00701,5.36376,negER_hmeDIP2x_TIvsCI_peak_7
chr1,479139,479444,306,479344,35,8.31056,2.90211,5.53342,negER_hmeDIP2x_TIvsCI_peak_8
chr1,487369,487804,436,487803,28,4.44754,2.17764,2.21595,negER_hmeDIP2x_TIvsCI_peak_9
chr1,571202,571506,305,571488,19,5.86815,3.08914,3.40703,negER_hmeDIP2x_TIvsCI_peak_10
chr1,607052,607328,277,607135,40,5.00916,2.03373,2.6787,negER_hmeDIP2x_TIvsCI_peak_11
chr1,619839,620066,228,619958,55,11.57574,2.84209,8.43946,negER_hmeDIP2x_TIvsCI_peak_12
chr1,639603,639847,245,639741,72,27.71321,4.82106,23.68259,negER_hmeDIP2x_TIvsCI_peak_13
chr1,648689,649115,427,648990,61,6.83676,2.02268,4.24544,negER_hmeDIP2x_TIvsCI_peak_14
chr1,707838,708297,460,708051,99,37.13421,4.85056,32.83418,negER_hmeDIP2x_TIvsCI_peak_15
chr1,829564,830231,668,829911,150,37.44741,3.4772,33.13957,negER_hmeDIP2x_TIvsCI_peak_16
chr1,847527,848140,614,847901,84,52.44655,8.79224,47.83344,negER_hmeDIP2x_TIvsCI_peak_17
chr1,848461,848781,321,848567,29,14.07477,5.20211,10.72116,negER_hmeDIP2x_TIvsCI_peak_18
chr1,933237,933420,184,933300,32,14.87554,5.09709,11.4604,negER_hmeDIP2x_TIvsCI_peak_19
