chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,736450,736699,250,736553,29,15.41873,5.74092,11.55081,meDIP2x_TIvsCI_peak_1
chr1,1577117,1577408,292,1577375,29,6.11899,2.59423,3.38424,meDIP2x_TIvsCI_peak_2
chr1,1912769,1913014,246,1912923,21,12.68067,5.94658,9.04418,meDIP2x_TIvsCI_peak_3
chr1,3241560,3241825,266,3241768,23,5.49798,2.68965,2.90437,meDIP2x_TIvsCI_peak_4
chr1,3313597,3313916,320,3313710,22,8.81016,3.99732,5.62994,meDIP2x_TIvsCI_peak_5
chr1,3582758,3582998,241,3582894,20,11.76697,5.67628,8.21673,meDIP2x_TIvsCI_peak_6
chr1,3879021,3879269,249,3879108,43,13.84854,3.80487,10.10719,meDIP2x_TIvsCI_peak_7
chr1,4453326,4453569,244,4453409,14,5.09178,3.19323,2.58804,meDIP2x_TIvsCI_peak_8
chr1,6298236,6298558,323,6298439,38,15.54458,4.64569,11.65966,meDIP2x_TIvsCI_peak_9
chr1,7320569,7320968,400,7320630,13,5.98969,3.78419,3.29284,meDIP2x_TIvsCI_peak_10
chr1,7382761,7383037,277,7382857,15,7.51796,4.32479,4.53204,meDIP2x_TIvsCI_peak_11
chr1,7779253,7779709,457,7779459,17,5.56129,3.12834,2.94827,meDIP2x_TIvsCI_peak_12
chr1,7898977,7899250,274,7899049,34,9.17803,3.17146,5.93834,meDIP2x_TIvsCI_peak_13
chr1,7899705,7900494,790,7899852,56,19.96403,4.33502,15.79811,meDIP2x_TIvsCI_peak_14
chr1,7910596,7910891,296,7910782,30,21.67897,8.37927,17.42199,meDIP2x_TIvsCI_peak_15
chr1,8451090,8451523,434,8451318,19,5.48758,2.93674,2.89691,meDIP2x_TIvsCI_peak_16
chr1,9640202,9640459,258,9640305,22,12.20581,5.5166,8.6198,meDIP2x_TIvsCI_peak_17
chr1,9945763,9946060,298,9945937,33,12.03582,4.05009,8.46506,meDIP2x_TIvsCI_peak_18
chr1,10786726,10786975,250,10786846,20,10.49764,5.03689,7.09958,meDIP2x_TIvsCI_peak_19
chr1,10870337,10870775,439,10870473,48,10.70594,2.90867,7.28862,meDIP2x_TIvsCI_peak_20
chr1,10891825,10892225,401,10892138,30,10.85408,3.94067,7.41854,meDIP2x_TIvsCI_peak_21
chr1,10973146,10973446,301,10973325,23,7.17267,3.27044,4.24645,meDIP2x_TIvsCI_peak_22
chr1,11604902,11605189,288,11605040,22,13.61346,6.21688,9.89048,meDIP2x_TIvsCI_peak_23
chr1,12075236,12075581,346,12075454,23,4.62589,2.40493,2.21505,meDIP2x_TIvsCI_peak_24
chr1,12195075,12195403,329,12195204,31,11.52597,4.06779,8.01149,meDIP2x_TIvsCI_peak_25
chr1,12916532,12916770,239,12916647,18,10.00033,5.13568,6.6557,meDIP2x_TIvsCI_peak_26
chr1,13144623,13144993,371,13144853,55,6.98534,2.12492,4.09829,meDIP2x_TIvsCI_peak_27
chr1,13308585,13308939,355,13308777,32,13.13699,4.49685,9.46108,meDIP2x_TIvsCI_peak_28
chr1,13330583,13330970,388,13330684,33,6.40343,2.51558,3.62674,meDIP2x_TIvsCI_peak_29
chr1,13579406,13579657,252,13579618,17,6.26787,3.44455,3.50778,meDIP2x_TIvsCI_peak_30
chr1,13919746,13920149,404,13919915,56,15.57152,3.49308,11.68538,meDIP2x_TIvsCI_peak_31
chr1,13925045,13925479,435,13925137,62,10.73171,2.54347,7.30718,meDIP2x_TIvsCI_peak_32
chr1,13926217,13926900,684,13926756,31,9.30194,3.38578,6.04978,meDIP2x_TIvsCI_peak_33
chr1,13952886,13953123,238,13953009,68,11.02806,2.46971,7.56094,meDIP2x_TIvsCI_peak_34
chr1,14166163,14166417,255,14166266,22,9.76878,4.40137,6.45984,meDIP2x_TIvsCI_peak_35
chr1,15060841,15061106,266,15060928,71,11.54745,2.48319,8.03218,meDIP2x_TIvsCI_peak_36
chr1,15587377,15587622,246,15587494,24,10.24216,4.34491,6.86753,meDIP2x_TIvsCI_peak_37
chr1,15635545,15635823,279,15635714,20,6.05269,3.08358,3.3315,meDIP2x_TIvsCI_peak_38
chr1,16670353,16670796,444,16670444,59,16.67682,3.56164,12.71087,meDIP2x_TIvsCI_peak_39
chr1,17263820,17264102,283,17264033,31,6.62192,2.64631,3.8028,meDIP2x_TIvsCI_peak_40
chr1,17264566,17265100,535,17264680,73,10.95256,2.37883,7.49435,meDIP2x_TIvsCI_peak_41
chr1,17362202,17362482,281,17362314,111,23.05052,2.99096,18.72825,meDIP2x_TIvsCI_peak_42
chr1,17936859,17937339,481,17937218,21,7.33127,3.50204,4.38101,meDIP2x_TIvsCI_peak_43
chr1,18043550,18043967,418,18043828,18,4.94287,2.78991,2.49284,meDIP2x_TIvsCI_peak_44
chr1,18080225,18080463,239,18080346,53,9.54596,2.56266,6.26676,meDIP2x_TIvsCI_peak_45
chr1,18613964,18614212,249,18614070,42,15.59254,4.30883,11.70513,meDIP2x_TIvsCI_peak_46
chr1,18771907,18772171,265,18771975,24,10.72148,4.54077,7.30129,meDIP2x_TIvsCI_peak_47
chr1,18858715,18859031,317,18858849,28,7.0499,2.90596,4.15706,meDIP2x_TIvsCI_peak_48
chr1,19237494,19237730,237,19237674,19,10.8732,5.40598,7.4228,meDIP2x_TIvsCI_peak_49
chr1,19318745,19319068,324,19318834,101,13.00743,2.24822,9.3424,meDIP2x_TIvsCI_peak_50
chr1,19326506,19326782,277,19326610,28,5.65861,2.50776,3.02753,meDIP2x_TIvsCI_peak_51
chr1,19327769,19328118,350,19328053,53,8.78891,2.44032,5.61309,meDIP2x_TIvsCI_peak_52
chr1,19511994,19513132,1139,19512979,58,16.74046,3.61565,12.77252,meDIP2x_TIvsCI_peak_53
chr1,19513416,19513882,467,19513551,77,14.15144,2.69013,10.38743,meDIP2x_TIvsCI_peak_54
chr1,19514901,19515770,870,19515078,36,20.42619,6.5564,16.23993,meDIP2x_TIvsCI_peak_55
chr1,19746573,19747313,741,19747137,31,17.16753,6.12364,13.17112,meDIP2x_TIvsCI_peak_56
chr1,19920500,19920737,238,19920533,25,6.19525,2.80766,3.44685,meDIP2x_TIvsCI_peak_57
chr1,20312548,20312838,291,20312630,17,8.08713,4.31734,5.0235,meDIP2x_TIvsCI_peak_58
chr1,20324570,20324831,262,20324721,50,11.21696,2.93536,7.73571,meDIP2x_TIvsCI_peak_59
chr1,20357764,20358417,654,20357978,87,18.43164,2.98071,14.35816,meDIP2x_TIvsCI_peak_60
chr1,20358921,20359199,279,20358968,48,5.40838,1.97826,2.83886,meDIP2x_TIvsCI_peak_61
chr1,20378181,20378546,366,20378424,56,12.25983,2.925,8.66786,meDIP2x_TIvsCI_peak_62
chr1,20441050,20441290,241,20441190,27,9.67532,3.81551,6.37884,meDIP2x_TIvsCI_peak_63
chr1,20696009,20696278,270,20696013,95,4.88511,1.56823,2.44501,meDIP2x_TIvsCI_peak_64
chr1,20735170,20735659,490,20735499,43,10.69752,3.09747,7.28072,meDIP2x_TIvsCI_peak_65
chr1,21347043,21347350,308,21347044,80,4.80876,1.62613,2.37727,meDIP2x_TIvsCI_peak_66
chr1,21661665,21661922,258,21661759,60,9.7905,2.4493,6.4788,meDIP2x_TIvsCI_peak_67
chr1,23030218,23031016,799,23030886,87,30.71173,4.51578,26.0842,meDIP2x_TIvsCI_peak_68
chr1,23226029,23226337,309,23226181,22,12.20581,5.5166,8.6198,meDIP2x_TIvsCI_peak_69
