chr,start,end,length,abs_summit,pileup,#NAME?,fold_enrichment,#NAME?,name
chr1,5728,6354,627,5960,25,6.78677,2.99807,4.2298,hmeDIP2x_TIvsCI_peak_1
chr1,7932,8308,377,8171,21,9.79261,4.5491,6.89099,hmeDIP2x_TIvsCI_peak_2
chr1,19801,20126,326,19877,40,9.72386,3.01373,6.82952,hmeDIP2x_TIvsCI_peak_3
chr1,21956,22505,550,22326,34,8.22487,2.92634,5.50595,hmeDIP2x_TIvsCI_peak_4
chr1,39946,40187,242,40017,24,4.81746,2.42335,2.56557,hmeDIP2x_TIvsCI_peak_5
chr1,41770,42140,371,42066,26,6.22608,2.76405,3.75971,hmeDIP2x_TIvsCI_peak_6
chr1,43031,43756,726,43168,32,12.79107,4.38264,9.59453,hmeDIP2x_TIvsCI_peak_7
chr1,51322,51522,201,51447,23,11.28136,4.9217,8.24205,hmeDIP2x_TIvsCI_peak_8
chr1,57507,57830,324,57711,52,23.38784,5.42573,19.37703,hmeDIP2x_TIvsCI_peak_9
chr1,59399,59601,203,59508,24,5.25099,2.55931,2.91804,hmeDIP2x_TIvsCI_peak_10
chr1,62657,63154,498,62950,51,36.39526,9.65801,31.72798,hmeDIP2x_TIvsCI_peak_11
chr1,287530,287740,211,287624,12,7.58764,4.87996,4.92757,hmeDIP2x_TIvsCI_peak_12
chr1,361778,362088,311,362013,34,6.36722,2.47308,3.88013,hmeDIP2x_TIvsCI_peak_13
chr1,376182,376435,254,376304,28,9.19472,3.56957,6.36568,hmeDIP2x_TIvsCI_peak_14
chr1,377978,378268,291,378100,22,7.96959,3.65895,5.27179,hmeDIP2x_TIvsCI_peak_15
chr1,393542,393823,282,393785,46,8.36864,2.53553,5.63202,hmeDIP2x_TIvsCI_peak_16
chr1,394460,394675,216,394461,19,4.25012,2.46178,2.07294,hmeDIP2x_TIvsCI_peak_17
chr1,398234,398513,280,398346,31,10.32089,3.68994,7.37561,hmeDIP2x_TIvsCI_peak_18
chr1,399942,400230,289,400066,23,9.20737,4.04575,6.37449,hmeDIP2x_TIvsCI_peak_19
chr1,403471,403756,286,403535,33,12.0928,4.06753,8.97238,hmeDIP2x_TIvsCI_peak_20
chr1,405429,405740,312,405548,24,16.49858,7.25468,12.99533,hmeDIP2x_TIvsCI_peak_21
chr1,414727,415234,508,414814,24,8.99911,3.85792,6.18933,hmeDIP2x_TIvsCI_peak_22
chr1,415502,415864,363,415716,23,15.56742,7.00664,12.14022,hmeDIP2x_TIvsCI_peak_23
chr1,426059,426302,244,426268,49,6.72082,2.18144,4.17252,hmeDIP2x_TIvsCI_peak_24
chr1,535103,535401,299,535279,40,14.57196,4.19726,11.22625,hmeDIP2x_TIvsCI_peak_25
chr1,552909,553173,265,553084,27,14.73988,5.78977,11.37252,hmeDIP2x_TIvsCI_peak_26
chr1,557150,557432,283,557294,27,14.73988,5.78977,11.37252,hmeDIP2x_TIvsCI_peak_27
chr1,557816,558095,280,557917,19,12.47343,6.26553,9.31939,hmeDIP2x_TIvsCI_peak_28
chr1,558298,558674,377,558526,22,15.48343,7.20536,12.06135,hmeDIP2x_TIvsCI_peak_29
chr1,562419,562644,226,562431,13,4.30658,2.89488,2.11718,hmeDIP2x_TIvsCI_peak_30
chr1,587066,587346,281,587211,30,14.50063,5.22576,11.16265,hmeDIP2x_TIvsCI_peak_31
chr1,604108,604393,286,604197,36,18.72313,5.92522,15.04308,hmeDIP2x_TIvsCI_peak_32
chr1,624299,624653,355,624375,31,8.30823,3.10189,5.57689,hmeDIP2x_TIvsCI_peak_33
chr1,856038,856349,312,856179,15,10.46054,6.00611,7.49112,hmeDIP2x_TIvsCI_peak_34
chr1,1070527,1071040,514,1070730,61,14.34464,3.10508,11.02602,hmeDIP2x_TIvsCI_peak_35
chr1,1071844,1072374,531,1072155,52,26.54451,6.2629,22.33949,hmeDIP2x_TIvsCI_peak_36
chr1,1225057,1225276,220,1225212,66,18.04288,3.51069,14.41537,hmeDIP2x_TIvsCI_peak_37
chr1,1238889,1239268,380,1238973,38,15.03774,4.49711,11.65211,hmeDIP2x_TIvsCI_peak_38
chr1,1241526,1241840,315,1241687,35,22.16905,7.44399,18.24641,hmeDIP2x_TIvsCI_peak_39
chr1,1245556,1246361,806,1245932,68,23.81575,4.36807,19.78475,hmeDIP2x_TIvsCI_peak_40
chr1,1321320,1321544,225,1321448,20,7.18784,3.54003,4.58949,hmeDIP2x_TIvsCI_peak_41
chr1,1338064,1338264,201,1338143,21,7.84244,3.7086,5.16283,hmeDIP2x_TIvsCI_peak_42
chr1,1380310,1380544,235,1380342,19,10.76056,5.34747,7.75696,hmeDIP2x_TIvsCI_peak_43
chr1,1383459,1383756,298,1383579,20,13.13386,6.40202,9.91531,hmeDIP2x_TIvsCI_peak_44
chr1,1386216,1386654,439,1386404,64,29.22342,5.6956,24.86954,hmeDIP2x_TIvsCI_peak_45
chr1,1390637,1390832,196,1390676,13,5.9154,3.74323,3.47397,hmeDIP2x_TIvsCI_peak_46
chr1,1443588,1443800,213,1443671,27,13.34466,5.20046,10.11069,hmeDIP2x_TIvsCI_peak_47
chr1,1567846,1568184,339,1568018,44,19.50946,5.18897,15.76959,hmeDIP2x_TIvsCI_peak_48
chr1,1585501,1586134,634,1586036,15,8.75952,5.01243,5.96555,hmeDIP2x_TIvsCI_peak_49
chr1,1662217,1662405,189,1662341,12,7.58764,4.87996,4.92757,hmeDIP2x_TIvsCI_peak_50
chr1,1699862,1700184,323,1700061,19,14.65023,7.50763,11.28979,hmeDIP2x_TIvsCI_peak_51
chr1,2010684,2010991,308,2010809,14,5.69202,3.49805,3.30795,hmeDIP2x_TIvsCI_peak_52
chr1,2012859,2013171,313,2013066,14,9.47466,5.63072,6.60282,hmeDIP2x_TIvsCI_peak_53
chr1,2014171,2014371,201,2014253,12,6.24218,4.0726,3.76565,hmeDIP2x_TIvsCI_peak_54
chr1,2020528,2020765,238,2020651,11,5.4631,3.75932,3.09908,hmeDIP2x_TIvsCI_peak_55
chr1,2042960,2043182,223,2043119,18,13.56849,7.13225,10.30339,hmeDIP2x_TIvsCI_peak_56
chr1,2119875,2120129,255,2119999,24,17.58318,7.83192,13.99182,hmeDIP2x_TIvsCI_peak_57
chr1,2120702,2121123,422,2120770,19,12.16726,6.09716,9.03849,hmeDIP2x_TIvsCI_peak_58
chr1,2122889,2123144,256,2123024,17,7.84772,4.19766,5.16283,hmeDIP2x_TIvsCI_peak_59
chr1,2145501,2145697,197,2145594,30,11.31474,4.09176,8.27238,hmeDIP2x_TIvsCI_peak_60
chr1,2296071,2296355,285,2296252,11,6.69044,4.50458,4.14328,hmeDIP2x_TIvsCI_peak_61
chr1,2613850,2614064,215,2613968,33,11.60828,3.92056,8.5239,hmeDIP2x_TIvsCI_peak_62
chr1,2668569,2668769,201,2668749,82,7.26597,1.87387,4.66086,hmeDIP2x_TIvsCI_peak_63
chr1,2823983,2824202,220,2824116,12,7.58764,4.87996,4.92757,hmeDIP2x_TIvsCI_peak_64
chr1,2912667,2912873,207,2912751,11,6.69044,4.50458,4.14328,hmeDIP2x_TIvsCI_peak_65
chr1,3171806,3172019,214,3171880,11,5.4631,3.75932,3.09908,hmeDIP2x_TIvsCI_peak_66
chr1,3292858,3293076,219,3292979,14,9.47466,5.63072,6.60282,hmeDIP2x_TIvsCI_peak_67
chr1,3827767,3828019,253,3827991,106,6.5399,1.6713,4.0363,hmeDIP2x_TIvsCI_peak_68
chr1,4560248,4560672,425,4560451,23,12.12882,5.30507,9.00485,hmeDIP2x_TIvsCI_peak_69
chr1,4677412,4677686,275,4677543,33,16.98329,5.73148,13.43518,hmeDIP2x_TIvsCI_peak_70
chr1,4683350,4683557,208,4683406,29,8.41498,3.25371,5.67647,hmeDIP2x_TIvsCI_peak_71
chr1,4687373,4687952,580,4687813,24,12.19049,5.16944,9.05747,hmeDIP2x_TIvsCI_peak_72
chr1,4690137,4690603,467,4690199,14,7.89232,4.69915,5.19905,hmeDIP2x_TIvsCI_peak_73
chr1,4795365,4795587,223,4795487,17,12.50883,6.75687,9.34106,hmeDIP2x_TIvsCI_peak_74
chr1,4807095,4807350,256,4807225,17,10.57009,5.63898,7.59002,hmeDIP2x_TIvsCI_peak_75
chr1,5169750,5169960,211,5169895,30,8.35542,3.17354,5.61931,hmeDIP2x_TIvsCI_peak_76
chr1,5450190,5450440,251,5450280,28,10.84257,4.12624,7.83343,hmeDIP2x_TIvsCI_peak_77
chr1,5524014,5524376,363,5524249,11,6.69044,4.50458,4.14328,hmeDIP2x_TIvsCI_peak_78
chr1,5731535,5731726,192,5731644,14,4.90743,3.10166,2.64384,hmeDIP2x_TIvsCI_peak_79
chr1,5937084,5937290,207,5937250,42,6.24952,2.23473,3.77189,hmeDIP2x_TIvsCI_peak_80
chr1,6986893,6987167,275,6987014,98,28.74888,3.85803,24.42678,hmeDIP2x_TIvsCI_peak_81
chr1,7027549,7027875,327,7027718,35,17.28468,5.55541,13.72139,hmeDIP2x_TIvsCI_peak_82
chr1,7028973,7029264,292,7029076,125,29.42478,3.29281,25.0606,hmeDIP2x_TIvsCI_peak_83
chr1,7478853,7479042,190,7478945,12,7.58764,4.87996,4.92757,hmeDIP2x_TIvsCI_peak_84
chr1,7574426,7574627,202,7574543,12,7.58764,4.87996,4.92757,hmeDIP2x_TIvsCI_peak_85
